,unique.cellid,CGP.cellid,CCLE.cellid,GSK.cellid,NCI60.cellid,GRAY.cellid,GNE.cellid,CTRP.cellid,CGP_EMTAB3610.cellid,CCLE_rnaseq.cellid,GDSC.SNP.cellid,Ben_Neel.cellid,CTRPv2.cellid,gCSI.cellid,GDSC1000.cellid,CGP.tissueid,CCLE.tissueid,GSK.tissueid,NCI60.tissueid,GRAY.tissueid,GNE.tissueid,CTRP.tissueid,CGP_EMTAB3610.tissueid,CCLE_rnaseq.tissueid,GDSC.SNP.tissueid,Cescon.cellid,Ben_Neel.tissueid,COSMIC.tissueid,unique.tissueid,CTRPv2.tissueid,gCSI.tissueid,GDSC1000.tissueid,Cleveland.cellid,Cleveland.tissueid
WM1799,WM1799,NA,WM1799,NA,NA,NA,NA,NA,NA,WM1799,NA,NA,WM1799,NA,NA,NA,skin,NA,NA,NA,NA,NA,NA,skin,NA,NA,NA,NA,skin,skin,NA,NA,WM1799,skin
WSU-DLCL2,WSU-DLCL2,NA,WSU-DLCL2,NA,NA,NA,WSU-DLCL2,WSUDLCL2,WSU-DLCL2,WSU-DLCL2,WSU-DLCL2,NA,WSUDLCL2,NA,WSU-DLCL2,NA,haematopoietic_and_lymphoid_tissue,NA,NA,NA,Lymph Node,HEMATOPOIETIC_AND_LYMPHOID_TISSUE,Blood,haematopoietic_and_lymphoid_tissue,NA,NA,NA,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,NA,haematopoietic_and_lymphoid_tissue,NA,NA
YD-10B,YD-10B,NA,YD-10B,NA,NA,NA,NA,NA,NA,YD-10B,NA,NA,YD10B,NA,NA,NA,upper_aerodigestive_tract,NA,NA,NA,NA,NA,NA,upper_aerodigestive_tract,NA,NA,NA,NA,upper_aerodigestive_tract,upper_aerodigestive_tract,NA,NA,YD10B,upper_aerodigestive_tract
YD-15,YD-15,NA,YD-15,NA,NA,NA,NA,NA,NA,YD-15,NA,NA,YD15,NA,NA,NA,salivary_gland,NA,NA,NA,NA,NA,NA,salivary_gland,NA,NA,NA,NA,salivary_gland,salivary_gland,NA,NA,YD15,salivary_gland
YD-38,YD-38,NA,YD-38,NA,NA,NA,NA,NA,NA,YD-38,NA,NA,YD38,NA,NA,NA,upper_aerodigestive_tract,NA,NA,NA,NA,NA,NA,upper_aerodigestive_tract,NA,NA,NA,NA,upper_aerodigestive_tract,upper_aerodigestive_tract,NA,NA,YD38,upper_aerodigestive_tract
YD-8,YD-8,NA,YD-8,NA,NA,NA,NA,NA,NA,YD-8,NA,NA,YD8,NA,NA,NA,upper_aerodigestive_tract,NA,NA,NA,NA,NA,NA,upper_aerodigestive_tract,NA,NA,NA,NA,upper_aerodigestive_tract,upper_aerodigestive_tract,NA,NA,YD8,upper_aerodigestive_tract
YMB-1,YMB-1,NA,YMB-1,NA,NA,NA,YMB-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,breast,NA,NA,NA,Breast,NA,NA,NA,NA,NA,NA,NA,breast,NA,NA,NA,NA,NA
ZR-75-1,ZR-75-1,NA,ZR-75-1,ZR751,NA,ZR751,ZR-75-1,NA,NA,ZR-75-1,NA,zr751,ZR751,NA,NA,NA,breast,breast,NA,breast,Breast,NA,NA,breast,NA,ZR75-1,breast,breast,breast,breast,NA,NA,ZR751,breast
1A2,1A2,NA,NA,1A2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hematopoietic_and_lymphatic_system,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,haematopoietic_and_lymphoid_tissue,NA,NA,NA,NA,NA
A7,A7,NA,NA,A7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,skin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,skin,NA,NA,NA,NA,NA
BC-2,BC-2,NA,NA,BC2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hematopoietic_and_lymphatic_system,NA,NA,NA,NA,NA,NA,NA,NA,NA,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,NA,NA,haematopoietic_and_lymphoid_tissue,NA,NA
BE(2)-C,BE(2)-C,NA,NA,BE2C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,brain,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,brain,NA,NA,NA,NA,NA
BEWO,BEWO,NA,NA,BEWO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,placenta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,placenta,NA,NA,NA,NA,NA
BM1604,BM1604,NA,NA,BM1604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,prostate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,prostate,NA,NA,NA,NA,NA
C-4 I,C-4 I,NA,NA,C4I,NA,NA,NA,NA,C-4-I,NA,C-4-I,NA,NA,NA,C-4-I,NA,NA,cervix_uteri,NA,NA,NA,NA,cervix,NA,NA,NA,NA,NA,cervix,NA,NA,cervix,NA,NA
CAHPV10,CAHPV10,NA,NA,CAHPV10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,prostate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,prostate,NA,NA,NA,NA,NA
CEMC1,CEMC1,NA,NA,CEMC1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hematopoietic_and_lymphatic_system,NA,NA,NA,NA,NA,NA,NA,NA,NA,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,NA,NA,NA,NA,NA
COLO 320DM,COLO 320DM,NA,NA,COLO320DM,NA,NA,COLO 320DM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lung,NA,NA,Colon,NA,NA,NA,NA,NA,NA,NA,lung,NA,NA,NA,NA,NA
HEC1B,HEC1B,NA,NA,HEC1B,NA,NA,NA,NA,NA,NA,NA,NA,HEC1B,NA,NA,NA,NA,uterus,NA,NA,NA,NA,NA,NA,NA,NA,NA,endometrium,endometrium,endometrium,NA,NA,HEC1B,endometrium
HeLa,HeLa,NA,NA,HELA,NA,NA,HeLa,NA,HeLa,NA,HeLa,NA,HELA,NA,HeLa,NA,NA,cervix,NA,NA,Cervix,NA,Cervix,NA,NA,NA,NA,cervix,cervix,NA,NA,cervix,HELA,NA
HN5,HN5,NA,NA,HN5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,head_and_neck,NA,NA,NA,NA,NA,NA,NA,NA,NA,upper_aerodigestive_tract,upper_aerodigestive_tract,NA,NA,NA,NA,NA
HS-Sultan,HS-Sultan,NA,NA,HSSULTAN,NA,NA,HS-Sultan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hematopoietic_and_lymphatic_system,NA,NA,Blood,NA,NA,NA,NA,NA,NA,NA,haematopoietic_and_lymphoid_tissue,NA,NA,NA,NA,NA
KHOS-240S,KHOS-240S,NA,NA,KHOS240S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sarcoma,NA,NA,NA,NA,NA,NA,NA,NA,NA,bone,bone,NA,NA,NA,NA,NA
MCF10A,MCF10A,NA,NA,MCF10A,NA,MCF10A,MCF 10A,NA,NA,NA,NA,mcf10a,NA,NA,NA,NA,NA,breast,NA,breast,Breast,NA,NA,NA,NA,NA,breast,NA,breast,NA,NA,NA,NA,NA
MT3,MT3,NA,NA,MT3,NA,MT3,MT-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,breast,NA,breast,Breast,NA,NA,NA,NA,NA,NA,NA,breast,NA,NA,NA,NA,NA
MV522,MV522,NA,NA,MV522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lung,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lung,NA,NA,NA,NA,NA
MX-1,MX-1,NA,NA,MX1,NA,MX1,MX-1,NA,NA,NA,NA,mx1,NA,NA,NA,NA,NA,breast,NA,breast,Breast,NA,NA,NA,NA,MX1,breast,NA,breast,NA,NA,NA,NA,NA
NC37,NC37,NA,NA,NC37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hematopoietic_and_lymphatic_system,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,haematopoietic_and_lymphoid_tissue,NA,NA,NA,NA,NA
NCIH2195,NCIH2195,NA,NA,NCIH2195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lung,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lung,NA,NA,NA,NA,NA
PLB985,PLB985,NA,NA,PLB985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hematopoietic_and_lymphatic_system,NA,NA,NA,NA,NA,NA,NA,NA,NA,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,NA,NA,NA,NA,NA
RKO-E6,RKO-E6,NA,NA,RKOE6,NA,NA,RKO-E6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,colon,NA,NA,Colon,NA,NA,NA,NA,NA,NA,large_intestine,large_intestine,NA,NA,NA,NA,NA
RWPE1,RWPE1,NA,NA,RWPE1,NA,NA,NA,NA,RWPE-1,NA,NA,NA,NA,NA,NA,NA,NA,prostate,NA,NA,NA,NA,Prostate,NA,NA,NA,NA,NA,prostate,NA,NA,prostate,NA,NA
SCC12,SCC12,NA,NA,SCC12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,head_and_neck,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,head_and_neck,NA,NA,NA,NA,NA
SCC13,SCC13,NA,NA,SCC13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,head_and_neck,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,head_and_neck,NA,NA,NA,NA,NA
SCLC3,SCLC3,NA,NA,SCLC3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lung,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lung,NA,NA,NA,NA,NA
SKO007,SKO007,NA,NA,SKO007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hematopoietic_and_lymphatic_system,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,haematopoietic_and_lymphoid_tissue,NA,NA,NA,NA,NA
SNU-1,SNU-1,NA,NA,SNU1,NA,NA,SNU-1,NA,NA,NA,NA,NA,SNU1,NA,NA,NA,NA,stomach,NA,NA,Stomach,NA,NA,NA,NA,NA,NA,stomach,stomach,stomach,NA,NA,NA,NA
SNU-16,SNU-16,NA,NA,SNU16,NA,NA,SNU-16,NA,NA,NA,NA,NA,SNU16,NA,NA,NA,NA,stomach,NA,NA,Stomach,NA,NA,NA,NA,NA,NA,stomach,stomach,stomach,NA,NA,NA,NA
SNU-5,SNU-5,NA,NA,SNU5,NA,NA,SNU-5,NA,NA,NA,NA,NA,SNU5,NA,NA,NA,NA,stomach,NA,NA,Stomach,NA,NA,NA,NA,NA,NA,stomach,stomach,stomach,NA,NA,NA,NA
SU-DHL-16,SU-DHL-16,NA,NA,SUDHL16,NA,NA,SU-DHL-16,NA,SU-DHL-16,NA,SU-DHL-16,NA,NA,NA,SU-DHL-16,NA,NA,hematopoietic_and_lymphatic_system,NA,NA,Lymph Node,NA,haematopoietic_and_lymphoid_tissue,NA,NA,NA,NA,NA,haematopoietic_and_lymphoid_tissue,NA,NA,haematopoietic_and_lymphoid_tissue,NA,NA
TANOUE,TANOUE,NA,NA,TANOUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hematopoietic_and_lymphatic_system,NA,NA,NA,NA,NA,NA,NA,NA,NA,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,NA,NA,NA,NA,NA
TE381T,TE381T,NA,NA,TE381T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sarcoma,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sarcoma,NA,NA,NA,NA,NA
U20S,U20S,NA,NA,U20S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sarcoma,NA,NA,NA,NA,NA,NA,NA,NA,NA,bone,bone,NA,NA,NA,NA,NA
WI38,WI38,NA,NA,WI38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lung,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lung,NA,NA,NA,NA,NA
WIDR,WIDR,NA,NA,WIDR,NA,NA,WiDr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,colon,NA,NA,Colon,NA,NA,NA,NA,NA,NA,large_intestine,large_intestine,NA,NA,NA,NA,NA
Y79,Y79,NA,NA,Y79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,eye,NA,NA,NA,NA,NA,NA,NA,NA,NA,eye,eye,NA,NA,NA,NA,NA
YPAC,YPAC,NA,NA,YPAC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,pancreas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,pancreas,NA,NA,NA,NA,NA
ME:MDA_N,ME:MDA_N,NA,NA,NA,ME:MDA_N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ME,NA,NA,NA,NA,NA,NA,NA,NA,NA,skin,NA,NA,NA,NA,NA
184A1,184A1,NA,NA,NA,NA,184A1,NA,NA,NA,NA,NA,184a1,NA,NA,NA,NA,NA,NA,NA,breast,NA,NA,NA,NA,NA,NA,breast,NA,breast,NA,NA,NA,NA,NA
184B5,184B5,NA,NA,NA,NA,184B5,NA,NA,NA,NA,NA,184b5,NA,NA,NA,NA,NA,NA,NA,breast,NA,NA,NA,NA,NA,NA,breast,NA,breast,NA,NA,NA,NA,NA
21NT,21NT,NA,NA,NA,NA,21NT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,breast,NA,NA,NA,NA,NA,NA,NA,NA,breast,NA,NA,NA,NA,NA
600MPE,600MPE,NA,NA,NA,NA,600MPE,NA,NA,NA,NA,NA,600mpe,NA,NA,NA,NA,NA,NA,NA,breast,NA,NA,NA,NA,NA,2-mpe600///MPE600,breast,breast,breast,NA,NA,NA,NA,NA
HCC2185,HCC2185,NA,NA,NA,NA,HCC2185,NA,NA,NA,NA,NA,hcc2185,NA,NA,NA,NA,NA,NA,NA,breast,NA,NA,NA,NA,NA,HCC2185,breast,breast,breast,NA,NA,NA,NA,NA
HCC3153,HCC3153,NA,NA,NA,NA,HCC3153,NA,NA,NA,NA,NA,hcc3153,NA,NA,NA,NA,NA,NA,NA,breast,NA,NA,NA,NA,NA,HCC3153,breast,breast,breast,NA,NA,NA,NA,NA
LY2,LY2,NA,NA,NA,NA,LY2,NA,NA,NA,NA,NA,ly2,NA,NA,NA,NA,NA,NA,NA,breast,NA,NA,NA,NA,NA,13-ly2///LY2,breast,breast,breast,NA,NA,NA,NA,NA
MCF12A,MCF12A,NA,NA,NA,NA,MCF12A,NA,NA,NA,NA,NA,mcf12a,NA,NA,NA,NA,NA,NA,NA,breast,NA,NA,NA,NA,NA,NA,breast,NA,breast,NA,NA,NA,NA,NA
SUM 149PT,SUM 149PT,NA,NA,NA,NA,SUM149PT,SUM 149PT,NA,NA,NA,NA,sum149,NA,NA,NA,NA,NA,NA,NA,breast,Breast,NA,NA,NA,NA,SUM149PT,breast,NA,breast,NA,NA,NA,NA,NA
SUM 159PT,SUM 159PT,NA,NA,NA,NA,SUM159PT,SUM 159PT,NA,NA,NA,NA,sum159,NA,NA,NA,NA,NA,NA,NA,breast,Breast,NA,NA,NA,NA,SUM159PT///SUM159 PT,breast,NA,breast,NA,NA,NA,NA,NA
SUM185PE,SUM185PE,NA,NA,NA,NA,SUM185PE,NA,NA,NA,NA,NA,sum185,NA,NA,NA,NA,NA,NA,NA,breast,NA,NA,NA,NA,NA,NA,breast,breast,breast,NA,NA,NA,NA,NA
SUM 229PE,SUM 229PE,NA,NA,NA,NA,SUM229PE,SUM 229PE,NA,NA,NA,NA,sum229,NA,NA,NA,NA,NA,NA,NA,breast,Breast,NA,NA,NA,NA,NA,breast,NA,breast,NA,NA,NA,NA,NA
SUM 52PE,SUM 52PE,NA,NA,NA,NA,SUM52PE,SUM 52PE,NA,NA,NA,NA,sum52,NA,NA,NA,NA,NA,NA,NA,breast,Breast,NA,NA,NA,NA,NA,breast,NA,breast,NA,NA,NA,NA,NA
T47D_KBluc,T47D_KBluc,NA,NA,NA,NA,T47D_KBluc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,breast,NA,NA,NA,NA,NA,NA,NA,NA,breast,NA,NA,NA,NA,NA
ZR75B,ZR75B,NA,NA,NA,NA,ZR75B,NA,NA,NA,NA,NA,zr75b,NA,NA,NA,NA,NA,NA,NA,breast,NA,NA,NA,NA,NA,NA,breast,NA,breast,NA,NA,NA,NA,NA
21MT1,21MT1,NA,NA,NA,NA,21MT1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,breast,NA,NA,NA,NA,NA,NA,NA,NA,breast,NA,NA,NA,NA,NA
MCF10F,MCF10F,NA,NA,NA,NA,MCF10F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,breast,NA,NA,NA,NA,NA,NA,NA,NA,breast,NA,NA,NA,NA,NA
SUM 1315M02,SUM 1315M02,NA,NA,NA,NA,SUM1315MO2,SUM 1315M02,NA,NA,NA,NA,sum1315,NA,NA,NA,NA,NA,NA,NA,breast,Breast,NA,NA,NA,NA,NA,breast,NA,breast,NA,NA,NA,NA,NA
SUM225CWN,SUM225CWN,NA,NA,NA,NA,SUM225CWN,NA,NA,NA,NA,NA,sum225,NA,NA,NA,NA,NA,NA,NA,breast,NA,NA,NA,NA,NA,NA,breast,breast,breast,NA,NA,NA,NA,NA
HBL-100,HBL-100,NA,NA,NA,NA,HBL100,HBL-100,NA,NA,NA,NA,hbl100,NA,NA,NA,NA,NA,NA,NA,breast,Breast,NA,NA,NA,NA,6-hbl100///HBL100///HBL-100,breast,breast,breast,NA,NA,NA,NA,NA
SUM44PE,SUM44PE,NA,NA,NA,NA,SUM44PE,NA,NA,NA,NA,NA,sum44,NA,NA,NA,NA,NA,NA,NA,breast,NA,NA,NA,NA,NA,NA,breast,breast,breast,NA,NA,NA,NA,NA
21PT,21PT,NA,NA,NA,NA,21PT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,breast,NA,NA,NA,NA,NA,NA,NA,NA,breast,NA,NA,NA,NA,NA
S1,S1,NA,NA,NA,NA,S1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,breast,NA,NA,NA,NA,NA,NA,NA,NA,breast,NA,NA,NA,NA,NA
SUM102PT,SUM102PT,NA,NA,NA,NA,SUM102PT,NA,NA,NA,NA,NA,sum102,NA,NA,NA,NA,NA,NA,NA,breast,NA,NA,NA,NA,NA,NA,breast,breast,breast,NA,NA,NA,NA,NA
T4,T4,NA,NA,NA,NA,T4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,breast,NA,NA,NA,NA,NA,NA,NA,NA,breast,NA,NA,NA,NA,NA
EFM-192B,EFM-192B,NA,NA,NA,NA,EFM192B,EFM-192B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,breast,Breast,NA,NA,NA,NA,NA,NA,NA,breast,NA,NA,NA,NA,NA
EFM-192C,EFM-192C,NA,NA,NA,NA,EFM192C,EFM-192C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,breast,Breast,NA,NA,NA,NA,NA,NA,NA,breast,NA,NA,NA,NA,NA
21MT2,21MT2,NA,NA,NA,NA,21MT2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,breast,NA,NA,NA,NA,NA,NA,NA,NA,breast,NA,NA,NA,NA,NA
HCC1008,HCC1008,NA,NA,NA,NA,HCC1008,NA,NA,NA,NA,NA,hcc1008,NA,NA,NA,NA,NA,NA,NA,breast,NA,NA,NA,NA,NA,NA,breast,breast,breast,NA,NA,NA,NA,NA
HCC1143BL,HCC1143BL,NA,NA,NA,NA,HCC1143BL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,breast,NA,NA,NA,NA,NA,NA,NA,NA,breast,NA,NA,NA,NA,NA
HCC38BL,HCC38BL,NA,NA,NA,NA,HCC38BL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,breast,NA,NA,NA,NA,NA,NA,NA,NA,breast,NA,NA,NA,NA,NA
PMC42,PMC42,NA,NA,NA,NA,PMC42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,breast,NA,NA,NA,NA,NA,NA,NA,NA,breast,NA,NA,NA,NA,NA
HCC1011,HCC1011,NA,NA,NA,NA,NA,HCC1011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kidney,NA,NA,NA,NA,NA,NA,NA,kidney,NA,NA,NA,NA,NA
HCC1162,HCC1162,NA,NA,NA,NA,NA,HCC1162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Uterus,NA,NA,NA,NA,NA,NA,NA,uterus,NA,NA,NA,NA,NA
HCC12,HCC12,NA,NA,NA,NA,NA,HCC12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kidney,NA,NA,NA,NA,NA,NA,NA,kidney,NA,NA,NA,NA,NA
HCC1263,HCC1263,NA,NA,NA,NA,NA,HCC1263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Colon,NA,NA,NA,NA,NA,NA,NA,large_intestine,NA,NA,NA,NA,NA
HCC1319,HCC1319,NA,NA,NA,NA,NA,HCC1319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kidney,NA,NA,NA,NA,NA,NA,NA,kidney,NA,NA,NA,NA,NA
HCC1482,HCC1482,NA,NA,NA,NA,NA,HCC1482,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Uterus,NA,NA,NA,NA,NA,NA,NA,uterus,NA,NA,NA,NA,NA
HCC1493,HCC1493,NA,NA,NA,NA,NA,HCC1493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Breast,NA,NA,NA,NA,NA,NA,NA,breast,NA,NA,NA,NA,NA
HCC1534,HCC1534,NA,NA,NA,NA,NA,HCC1534,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lung,NA,NA,NA,NA,NA,NA,NA,lung,NA,NA,NA,NA,NA
HCC1576,HCC1576,NA,NA,NA,NA,NA,HCC1576,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Adrenal,NA,NA,NA,NA,NA,NA,NA,adrenal_gland,NA,NA,NA,NA,NA
HCC193,HCC193,NA,NA,NA,NA,NA,HCC193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lung,NA,NA,NA,NA,NA,NA,lung,lung,NA,NA,NA,NA,NA
HCC2270,HCC2270,NA,NA,NA,NA,NA,HCC2270,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lung,NA,NA,NA,NA,NA,NA,NA,lung,NA,NA,NA,NA,NA
HCC2302,HCC2302,NA,NA,NA,NA,NA,HCC2302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lung,NA,NA,NA,NA,NA,NA,NA,lung,NA,NA,NA,NA,NA
HCC2688,HCC2688,NA,NA,NA,NA,NA,HCC2688,NA,NA,NA,NA,hcc2688,NA,NA,NA,NA,NA,NA,NA,NA,Breast,NA,NA,NA,NA,NA,breast,NA,breast,NA,NA,NA,NA,NA
HCC2885,HCC2885,NA,NA,NA,NA,NA,HCC2885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lung,NA,NA,NA,NA,NA,NA,NA,lung,NA,NA,NA,NA,NA
HCC2911,HCC2911,NA,NA,NA,NA,NA,HCC2911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Breast,NA,NA,NA,NA,NA,NA,NA,breast,NA,NA,NA,NA,NA
HEp-2,HEp-2,NA,NA,NA,NA,NA,HEp-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cervix,NA,NA,NA,NA,NA,NA,upper_aerodigestive_tract,upper_aerodigestive_tract,NA,NA,NA,NA,NA
HEY,HEY,NA,NA,NA,NA,NA,HEY,NA,Hey,NA,Hey,NA,NA,NA,Hey,NA,NA,NA,NA,NA,Ovary,NA,ovary,NA,NA,NA,NA,ovary,ovary,NA,NA,ovary,NA,NA
HM7,HM7,NA,NA,NA,NA,NA,HM7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Colon,NA,NA,NA,NA,NA,NA,NA,large_intestine,NA,NA,NA,NA,NA
HMY-1,HMY-1,NA,NA,NA,NA,NA,HMY-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Skin,NA,NA,NA,NA,NA,NA,NA,skin,NA,NA,NA,NA,NA
HNT-34,HNT-34,NA,NA,NA,NA,NA,HNT-34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Blood,NA,NA,NA,NA,NA,NA,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,NA,NA,NA,NA,NA
Hs 38.T,Hs 38.T,NA,NA,NA,NA,NA,Hs 38.T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ovary,NA,NA,NA,NA,NA,NA,NA,ovary,NA,NA,NA,NA,NA
Hs 69ST,Hs 69ST,NA,NA,NA,NA,NA,Hs 69ST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Skin,NA,NA,NA,NA,NA,NA,NA,skin,NA,NA,NA,NA,NA
IM-95m,IM-95m,NA,NA,NA,NA,NA,IM-95m,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stomach,NA,NA,NA,NA,NA,NA,NA,stomach,NA,NA,NA,NA,NA
Jiyoye,Jiyoye,NA,NA,NA,NA,NA,Jiyoye,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Blood,NA,NA,NA,NA,NA,NA,NA,haematopoietic_and_lymphoid_tissue,NA,NA,NA,NA,NA
JJ012,JJ012,NA,NA,NA,NA,NA,JJ012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cartilage,NA,NA,NA,NA,NA,NA,NA,cartilage,NA,NA,NA,NA,NA
KARPAS-1106P,KARPAS-1106P,NA,NA,NA,NA,NA,KARPAS-1106P,NA,KARPAS-1106P,NA,NA,NA,NA,NA,KARPAS-1106P,NA,NA,NA,NA,NA,Lymph Node,NA,haematopoietic_and_lymphoid_tissue,NA,NA,NA,NA,NA,haematopoietic_and_lymphoid_tissue,NA,NA,haematopoietic_and_lymphoid_tissue,NA,NA
LXFL529,LXFL529,NA,NA,NA,NA,NA,LXFL529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lung,NA,NA,NA,NA,NA,NA,lung,lung,NA,NA,NA,NA,NA
